k,assignments_select,comparisons_select,operations_select,assignments_bubble,comparisons_bubble,operations_bubble,assignments_binInsertion,comparisons_binInsertion,operations_binInsertion
4000,11997,7998000,8009997,0,3999,3999,1559855,4593047,6152902
4100,12297,8402950,8415247,0,4099,4099,4181859,4598552,8780411
4200,12597,8817900,8830497,0,4199,4199,3895224,4607529,8502753
4300,12897,9242850,9255747,0,4299,4299,2604671,4621372,7226043
4400,13197,9677800,9690997,0,4399,4399,4764920,4627175,9392095
4500,13497,10122750,10136247,0,4499,4499,4485453,4636250,9121703
4600,13797,10577700,10591497,0,4599,4599,2337517,4654013,6991530
4700,14097,11042650,11056747,0,4699,4699,5376926,4661590,10038516
4800,14397,11517600,11531997,0,4799,4799,3143390,4676431,7819821
4900,14697,12002550,12017247,0,4899,4899,3515372,4690270,8205642
5000,14997,12497500,12512497,0,4999,4999,5910344,4699203,10609547
5100,15297,13002450,13017747,0,5099,5099,3275016,4717920,7992936
5200,15597,13517400,13532997,0,5199,5199,6552630,4726889,11279519
5300,15897,14042350,14058247,0,5299,5299,6391084,4738070,11129154
5400,16197,14577300,14593497,0,5399,5399,2596475,4763729,7360204
5500,16497,15122250,15138747,0,5499,5499,7088993,4773986,11862979
5600,16797,15677200,15693997,0,5599,5599,2848445,4802221,7650666
5700,17097,16242150,16259247,0,5699,5699,3889943,4824124,8714067
5800,17397,16817100,16834497,0,5799,5799,3454762,4850901,8305663
5900,17697,17402050,17419747,0,5899,5899,3566482,4875912,8442394
6000,17997,17997000,18014997,0,5999,5999,4921957,4895271,9817228
6100,18297,18601950,18620247,0,6099,6099,8414436,4909062,13323498
6200,18597,19216900,19235497,0,6199,6199,8100624,4922329,13022953
6300,18897,19841850,19860747,0,6299,6299,3952849,4948660,8901509
6400,19197,20476800,20495997,0,6399,6399,6505882,4969297,11475179
6500,19497,21121750,21141247,0,6499,6499,5874722,4992132,10866854
6600,19797,21776700,21796497,0,6599,6599,10804330,5000619,15804949
6700,20097,22441650,22461747,0,6699,6699,8759819,5016304,13776123
6800,20397,23116600,23136997,0,6799,6799,11526812,5025179,16551991
6900,20697,23801550,23822247,0,6899,6899,8521127,5047470,13568597
7000,20997,24496500,24517497,0,6999,6999,5003996,5075549,10079545
7100,21297,25201450,25222747,0,7099,7099,11184606,5090978,16275584
7200,21597,25916400,25937997,0,7199,7199,11568785,5105809,16674594
7300,21897,26641350,26663247,0,7299,7299,6143242,5134504,11277746
7400,22197,27376300,27398497,0,7399,7399,13325702,5146483,18472185
7500,22497,28121250,28143747,0,7499,7499,6309832,5173394,11483226
7600,22797,28876200,28898997,0,7599,7599,13065805,5190783,18256588
7700,23097,29641150,29664247,0,7699,7699,11044228,5208608,16252836
7800,23397,30416100,30439497,0,7799,7799,9651486,5230261,14881747
7900,23697,31201050,31224747,0,7899,7899,13869767,5246256,19116023
8000,23997,31996000,32019997,0,7999,7999,15966828,5255999,21222827
8100,24297,32800950,32825247,0,8099,8099,5749392,5296658,11046050
8200,24597,33615900,33640497,0,8199,8199,15161526,5316659,20478185
8300,24897,34440850,34465747,0,8299,8299,6202275,5354138,11556413
8400,25197,35275800,35300997,0,8399,8399,16809754,5369295,22179049
8500,25497,36120750,36146247,0,8499,8499,15062464,5386828,20449292
8600,25797,36975700,37001497,0,8599,8599,6278159,5424853,11703012
8700,26097,37840650,37866747,0,8699,8699,8495440,5454984,13950424
8800,26397,38715600,38741997,0,8799,8799,16622870,5472877,22095747
8900,26697,39600550,39627247,0,8899,8899,15751361,5496182,21247543
9000,26997,40495500,40522497,0,8999,8999,8870193,5538089,14408282
9100,27297,41400450,41427747,0,9099,9099,7726656,5577714,13304370
9200,27597,42315400,42342997,0,9199,9199,13092207,5610685,18702892
9300,27897,43240350,43268247,0,9299,9299,12520811,5640206,18161017
9400,28197,44175300,44203497,0,9399,9399,9212762,5682159,14894921
9500,28497,45120250,45148747,0,9499,9499,22573690,5692118,28265808
9600,28797,46075200,46103997,0,9599,9599,13701346,5719443,19420789
9700,29097,47040150,47069247,0,9699,9699,11976904,5751924,17728828
9800,29397,48015100,48044497,0,9799,9799,22555781,5770115,28325896
9900,29697,49000050,49029747,0,9899,9899,11810276,5811134,17621410
100,297,4950,5247,0,99,99,1250,5811521,5812771
200,597,19900,20497,0,199,199,4618,5812422,5817040
300,897,44850,45747,0,299,299,22886,5812775,5835661
400,1197,79800,80997,0,399,399,25607,5813832,5839439
500,1497,124750,126247,0,499,499,58836,5814909,5873745
600,1797,179700,181497,0,599,599,47327,5817302,5864629
700,2097,244650,246747,0,699,699,95903,5819255,5915158
800,2397,319600,321997,0,799,799,101392,5822146,5923538
900,2697,404550,407247,0,899,899,120258,5825093,5945351
1000,2997,499500,502497,0,999,999,98243,5829256,5927499
1100,3297,604450,607747,0,1099,1099,130942,5833369,5964311
1200,3597,719400,722997,0,1199,1199,223806,5836660,6060466
1300,3897,844350,848247,0,1299,1299,211023,5841703,6052726
1400,4197,979300,983497,0,1399,1399,303724,5846046,6149770
1500,4497,1124250,1128747,0,1499,1499,302536,5852373,6154909
1600,4797,1279200,1283997,0,1599,1599,624882,5855044,6479926
1700,5097,1444150,1449247,0,1699,1699,296726,5862065,6158791
1800,5397,1619100,1624497,0,1799,1799,794907,5864552,6659459
1900,5697,1804050,1809747,0,1899,1899,898470,5867113,6765583
2000,5997,1999000,2004997,0,1999,1999,500495,5874358,6374853
