k,assignments_select,comparisons_select,operations_select,assignments_bubble,comparisons_bubble,operations_bubble,assignments_binInsertion,comparisons_binInsertion,operations_binInsertion
7600,22767,28876200,28898967,43743933,28875822,72619755,14596509,170017,14766526
7700,23094,29641150,29664244,45068448,29605639,74674087,15038214,172657,15210871
7800,23361,30416100,30439461,45643257,30409430,76052687,15230017,175117,15405134
7900,23667,31201050,31224717,47390301,31175850,78566151,15812565,177545,15990110
8000,23946,31996000,32019946,47618148,31964875,79583023,15888714,180057,16068771
8100,24291,32800950,32825241,48592839,32788230,81381069,16213811,182609,16396420
8200,24579,33615900,33640479,50170371,33610229,83780600,16739855,185055,16924910
8300,24861,34440850,34465711,51356211,34439080,85795291,17135335,187559,17322894
8400,25179,35275800,35300979,53108121,35271522,88379643,17719505,190089,17909594
8500,25467,36120750,36146217,54113421,36120120,90233541,18054805,192641,18247446
8600,25770,36975700,37001470,55093308,36974269,92067577,18381634,195057,18576691
8700,26058,37840650,37866708,56646438,37840440,94486878,18899544,197585,19097129
8800,26379,38715600,38741979,58341495,38713115,97054610,19464763,200169,19664932
8900,26679,39600550,39627229,59321625,39594109,98915734,19791673,202749,19994422
9000,26982,40495500,40522482,60704322,40491495,101195817,20252772,205309,20458081
9100,27270,41400450,41427720,62077920,41398854,103476774,20710838,207819,20918657
9200,27570,42315400,42342970,63395184,42255715,105650899,21150126,210497,21360623
9300,27867,43240350,43268217,64927653,43240284,108167937,21661149,212835,21873984
9400,28173,44175300,44203473,65681985,44173347,109855332,21912793,215607,22128400
9500,28461,45120250,45148711,67895655,45112122,113007777,22650883,218217,22869100
9600,28776,46075200,46103976,67749582,46072119,113821701,22602392,220727,22823119
9700,29070,47040150,47069220,70965090,47026784,117991874,23674428,223381,23897809
9800,29361,48015100,48044461,72105207,48009847,120115054,24054667,226011,24280678
9900,29679,49000050,49029729,73436421,48998280,122434701,24498605,228475,24727080
100,282,4950,5232,6966,4914,11880,2520,1003,3523
200,576,19900,20476,31854,19822,51676,11016,2393,13409
300,885,44850,45735,73779,43625,117404,25191,3917,29108
400,1188,79800,80988,115320,78897,194217,39238,5581,44819
500,1473,124750,126223,187779,124474,312253,63591,7273,70864
600,1791,179700,181491,268893,179580,448473,90829,8991,99820
700,2082,244650,246732,358980,244545,603525,121058,10833,131891
800,2379,319600,321979,483171,319590,802761,162655,12717,175372
900,2682,404550,407232,598122,403647,1001769,201172,14611,215783
1000,2973,499500,502473,751827,498834,1250661,252607,16529,269136
1100,3282,604450,607732,919170,604099,1523269,308588,18415,327003
1200,3588,719400,722988,1074078,716915,1790993,360424,20411,380835
1300,3870,844350,848220,1239552,842334,2081886,415782,22435,438217
1400,4173,979300,983473,1436829,978439,2415268,481741,24461,506202
1500,4473,1124250,1128723,1690209,1123260,2813469,566401,26489,592890
1600,4776,1279200,1283976,1882992,1277184,3160176,630862,28617,659479
1700,5073,1444150,1449223,2218647,1443520,3662167,742947,30685,773632
1800,5370,1619100,1624470,2401506,1617924,4019430,804100,32843,836943
1900,5676,1804050,1809726,2697612,1803060,4500672,903002,34941,937943
2000,5982,1999000,2004982,3040776,1998724,5039500,1017590,37057,1054647
2100,6276,2203950,2210226,3258144,2200034,5458178,1090246,39133,1129379
2200,6573,2418900,2425473,3557919,2418039,5975958,1190371,41237,1231608
2300,6861,2643850,2650711,3946005,2641572,6587577,1319933,43437,1363370
2400,7185,2878800,2885985,4346709,2870925,7217634,1453701,45653,1499354
2500,7464,3123750,3131214,4680918,3116124,7797042,1565304,47863,1613167
2600,7767,3378700,3386467,5011575,3377104,8388679,1675723,50043,1725766
2700,8073,3643650,3651723,5482257,3641094,9123351,1832817,52269,1885086
2800,8379,3918600,3926979,5997717,3917472,9915189,2004837,54525,2059362
2900,8673,4203550,4212223,6206775,4196647,10403422,2074723,56829,2131552
3000,8979,4498500,4507479,6734229,4497639,11231868,2250741,59019,2309760
3100,9270,4803450,4812720,7217208,4802855,12020063,2411934,61345,2473279
3200,9579,5118400,5127979,7699701,5117659,12817360,2572965,63649,2636614
3300,9885,5443350,5453235,8266287,5433620,13699907,2762027,65913,2827940
3400,10173,5778300,5788473,8651625,5776760,14428385,2890673,68293,2958966
3500,10479,6123250,6133729,9293961,6117790,15411751,3104985,70533,3175518
3600,10770,6478200,6488970,9875958,6477420,16353378,3299184,72775,3371959
3700,11082,6843150,6854232,10205652,6840449,17046101,3409282,75129,3484411
3800,11385,7218100,7229485,10722165,7218055,17940220,3581653,77479,3659132
3900,11655,7603050,7614705,11325339,7602672,18928011,3782911,79739,3862650
4000,11964,7998000,8009964,11844636,7991097,19835733,3956210,82075,4038285
4100,12273,8402950,8415223,12748401,8399122,21147523,4257665,84355,4342020
4200,12588,8817900,8830488,13190694,8813340,22004034,4405296,86637,4491933
4300,12876,9242850,9255726,14170404,9240959,23411363,4732066,88989,4821055
4400,13173,9677800,9690973,14482407,9677524,24159931,4836267,91341,4927608
4500,13470,10122750,10136220,15246822,10120194,25367016,5091272,93695,5184967
4600,13767,10577700,10591467,15914943,10575684,26490627,5314179,96023,5410202
4700,14079,11042650,11056729,16484421,11042020,27526441,5504205,98415,5602620
4800,14361,11517600,11531961,17343969,11511045,28855014,5790921,100755,5891676
4900,14679,12002550,12017229,18237645,12001560,30239205,6089013,103213,6192226
5000,14979,12497500,12512479,18760113,12496465,31256578,6263369,105585,6368954
5100,15267,13002450,13017717,19592385,12995547,32587932,6540993,107925,6648918
5200,15567,13517400,13532967,20225247,13505310,33730557,6752147,110449,6862596
5300,15861,14042350,14058211,21226611,14038864,35265475,7086135,113033,7199168
5400,16167,14577300,14593467,21908271,14573022,36481293,7313555,115215,7428770
5500,16485,15122250,15138735,22772115,15121785,37893900,7601703,117669,7719372
5600,16773,15677200,15693973,23337735,15672922,39010657,7790443,120101,7910544
5700,17064,16242150,16259214,24159120,16232420,40391540,8064438,122663,8187101
5800,17373,16817100,16834473,25353399,16812150,42165549,8462731,125105,8587836
5900,17673,17402050,17419723,25949595,17401554,43351149,8661663,127637,8789300
6000,17976,17997000,18014976,27217938,17992722,45210660,9084644,130011,9214655
6100,18279,18601950,18620229,27596835,18593694,46190529,9211143,132585,9343728
6200,18579,19216900,19235479,28814685,19212805,48027490,9617293,135033,9752326
6300,18879,19841850,19860729,30102459,19830222,49932681,10046751,137715,10184466
6400,19155,20476800,20495955,30740919,20470359,51211278,10259771,140087,10399858
6500,19473,21121750,21141223,31345149,21119670,52464819,10461381,142697,10604078
6600,19764,21776700,21796464,32509476,21775880,54285356,10849690,145093,10994783
6700,20082,22441650,22461732,33496902,22438875,55935777,11179032,147653,11326685
6800,20373,23116600,23136973,34311759,23114889,57426648,11450851,150015,11600866
6900,20676,23801550,23822226,36152460,23796297,59948757,12064618,152501,12217119
7000,20961,24496500,24517461,36673785,24483620,61157405,12238593,155047,12393640
7100,21264,25201450,25222714,37892082,25197795,63089877,12644892,157617,12802509
7200,21570,25916400,25937970,39423912,25893180,65317092,13155702,160027,13315729
7300,21867,26641350,26663217,39773241,26637609,66410850,13272345,162583,13434928
7400,22167,27376300,27398467,41245659,27356599,68602258,13763351,165125,13928476
7500,22473,28121250,28143723,41887059,28110075,69997134,13977351,167607,14144958
7600,22788,28876200,28898988,43590852,28873572,72464424,14545482,170019,14715501
7700,23073,29641150,29664223,44475309,29635264,74110573,14840501,172631,15013132
7800,23364,30416100,30439464,46391562,30415572,76807134,15479452,175083,15654535
7900,23682,31201050,31224732,46862976,31199565,78062541,15636790,177581,15814371
8000,23976,31996000,32019976,48529848,31992840,80522688,16192614,180161,16372775
8100,24273,32800950,32825223,49066263,32800674,81866937,16371619,182575,16554194
8200,24573,33615900,33640473,50938527,33610544,84549071,16995907,185017,17180924
8300,24870,34440850,34465720,51307134,34427484,85734618,17118976,187565,17306541
